name,day,startTime,endTime,location
體育(網球),1,13:20,15:10,網球場
領導與生活,1,15:30,17:20,TR-313
群眾生活中的科技議題,1,19:20,20:10,TR-409-1
法律與生活,2,10:20,12:10,TR-517
系統分析與設計,2,13:20,16:20,TR-409-2
演算法,3,9:10,12:10,E2-102
行動裝置程式設計,3,13:20,16:20,MA-303
影像美學,3,16:30,18:20,TR-212
程式設計,4,13:20,16:20,RB-510
統計學,5,10:20,12:10,MA-303
